	Extra_Miss_Subst	Gov_Constr	Fusion_Transfer	level	constr	gender	language	prep_orig	case_orig	prep_corr	case_corr
128	Extra	Gov	Transfer	A1	Verb	ж	FL	с	I	-	I
129	Subst	Gov	-	A1	Verb	ж	FL	в	G	у	G
130	Extra	Gov	Transfer	A1	Verb	ж	FL	с	G	-	I
131	Miss	Gov	Fusion	B1	Verb	ж	FL	-	A anim	за	I
132	Subst	Gov	-	A1	Verb	ж	FL	с	N	на	L
133	Subst	Gov	-	A1	Verb	ж	FL	в	L	на	L
134	Miss	Gov	Transfer	A2	Verb	м	FL	-	Adv	по	Adv
135	Extra	Gov	Fusion	A1	Verb	ж	FL	по	D	-	A
136	Miss	Gov	-	A1	Noun	м	FL	-	N	о	L
137	Subst	Gov	-	A1	Verb	м	FL	к	A	в	A
138	Miss	Gov	-	A1	Noun	ж	FL	-	N	в	L
139	Subst	Gov	-	A1	Verb	ж	FL	в	L	на	L
140	Miss	Gov	-	A1	Noun	ж	FL	-	L	о	L
141	Miss	Gov	-	A1	Noun	ж	FL	-	G	про	A anim
142	Miss	Gov	-	A1	Verb	ж	FL	-	A anim	за	I
143	Miss	Gov	-	A1	Verb	ж	FL	-	N	за	I
144	Miss	Gov	-	A1	Verb	ж	FL	-	N	за	I
145	Miss	Gov	-	A1	Verb	ж	FL	-	A anim	за	I
146	Subst	Constr	-	A1	time	м	FL	на	L	в	A
147	Miss	Gov	-	A1	Verb	ж	FL	-	A	по	D
148	Miss	Gov	-	A1	Verb	ж	FL	-	N	у	G
149	Miss	Gov	-	A1	Verb	ж	FL	-	N	у	G
150	Extra	Gov	-	A1	Verb	м	FL	о	L	-	A
151	Subst	Constr	-	A1	place	м	FL	на	L	в	L
152	Extra	Gov	Transfer	A1	Verb	ж	FL	с	I	-	I
153	Subst	Constr	Transfer	A1	time	ж	FL	для	G	на	A
154	Subst	Gov	-	A1	Verb	м	FL	на	L	в	A
155	Subst	Gov	-	A1	Verb	ж	FL	около	G	рядом с	I
156	Extra	Gov	-	A1	Verb	м	FL	на	A	-	Adv
157	Subst	Gov	-	A1	Verb	ж	FL	в	A	с	G
158	Miss	Gov	Transfer	A2	Noun	ж	FL	-	G	о	L
159	Miss	Constr	-	A2	time	ж	FL	-	N	в	L
160	Subst	Gov	-	A2	Noun	ж	FL	о	L	по	D
161	Miss	Gov	-	A2	Verb	ж	FL	-	N	в	L
162	Subst	Gov	-	A2	Noun	ж	FL	о	N	по	D
163	Miss	Gov	-	A2	Noun	ж	FL	-	N	в	L
164	Subst	Constr	-	A2	purpose	ж	FL	для	V	-	Conj V
165	Subst	Constr	-	A2	purpose	ж	FL	для	V	-	Conj V
166	Subst	Gov	-	A2	Noun	ж	FL	о	D	по	D
167	Subst	Gov	-	A2	Noun	ж	FL	на	N	по	D
168	Miss	Gov	-	A2	Noun	ж	FL	-	N	в	L
169	Subst	Constr	-	A2	time	ж	FL	на	L	в	L
170	Subst	Constr	-	A2	time	ж	FL	в	L	на	L
171	Subst	Constr	-	A2	time	ж	FL	на	L	в	L
172	Subst	Constr	-	A2	time	ж	FL	на	L	в	L
173	Miss	Constr	-	A2	time	ж	FL	-	L	на	L
174	Subst	Constr	-	A2	time	м	FL	на	L	в	L
175	Subst	Constr	-	A2	place	ж	FL	на	L	в	L
176	Subst	Constr	-	A2	place	ж	FL	в	L	на	L
177	Miss	Constr	-	A2	time	м	FL	-	N	в	L
178	Miss	Gov	Transfer	A2	Verb	ж	FL	-	N	за	I
179	Miss	Gov	-	A2	Verb	ж	FL	-	I	за	I
180	Miss	Gov	-	A2	Verb	м	FL	-	N	по	D
181	Miss	Gov	-	A2	Noun	м	FL	-	G	из	G
182	Miss	Gov	-	A2	Verb	м	FL	-	D	к	D
183	Miss	Gov	-	A2	Verb	м	FL	-	G	у	G
184	Miss	Gov	-	A2	Noun	м	FL	-	G	у	G
185	Miss	Gov	-	A2	Noun	м	FL	-	G	на	A
186	Miss	Gov	-	A2	Verb	м	FL	-	N	на	A
187	Miss	Constr	Transfer	A2	time	ж	FL	-	N	на	A
188	Miss	Gov	Transfer	A2	Verb	ж	FL	-	N	на	A anim
189	Miss	Gov	-	A2	Verb	ж	FL	-	N	на	L
190	Miss	Gov	Transfer	A2	Verb	м	FL	-	N	на	L
191	Miss	Gov	-	A2	Noun	ж	FL	-	N	над	I
192	Subst	Constr	-	A2	time	ж	FL	на	L	в	A
193	Miss	Gov	Transfer	A2	Noun	ж	FL	-	G	о	L
